"link","type","code", "crs"
"http://data.earthenv.org/habitat_heterogeneity/5km/Dissimilarity_01_05_5km_uint32.tif","Habitat heterogeneity","Dissimilarity_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/Entropy_01_05_5km_uint16.tif","Habitat heterogeneity","Entropy_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/Homogeneity_01_05_5km_uint16.tif","Habitat heterogeneity","Homogeneity_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/Maximum_01_05_5km_uint16.tif","Habitat heterogeneity","Maximum_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/Uniformity_01_05_5km_uint16.tif","Habitat heterogeneity","Uniformity_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/Variance_01_05_5km_uint32.tif","Habitat heterogeneity","Variance_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/cv_01_05_5km_uint32.tif","Habitat heterogeneity","Coefficient of Variation_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/evenness_01_05_5km_uint16.tif","Habitat heterogeneity","Evenness_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/range_01_05_5km_uint16.tif","Habitat heterogeneity","Range_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/shannon_01_05_5km_uint16.tif","Habitat heterogeneity","Shannon_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/simpson_01_05_5km_uint16.tif","Habitat heterogeneity","Simpson_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/habitat_heterogeneity/5km/std_01_05_5km_uint16.tif","Habitat heterogeneity","Standard deviation_5km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_1.tif","LC Consensus","Evergreen/Deciduous Needleleaf Trees_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_10.tif","LC Consensus","Evergreen Broadleaf Trees_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_11.tif","LC Consensus","Deciduous Broadleaf Trees_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_12.tif","LC Consensus","Mixed/Other Trees_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_2.tif","LC Consensus","Shrubs_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_3.tif","LC Consensus","Herbaceous Vegetation_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_4.tif","LC Consensus","Cultivated and Managed Vegetation_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_5.tif","LC Consensus","Regularly Flooded Vegetation_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_6.tif","LC Consensus","Urban/Built-up_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_7.tif","LC Consensus","Snow/Ice_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_8.tif","LC Consensus","Barren_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_9.tif","LC Consensus","Open Water_1km", "+proj=longlat +datum=WGS84 +ellps=WGS84 +towgs84=0,0,0"
