"x","y","date","time","x.1","y.1","optional"
495071.7455,5288379.871,"2013/08/04","08:40:07",495071.7455,5288379.871,1
495066.8666,5288380.765,"2013/08/04","08:45:07",495066.8666,5288380.765,1
495036.1726,5288373.122,"2013/08/04","08:50:07",495036.1726,5288373.122,1
495072.4543,5288375.981,"2013/08/04","08:55:07",495072.4543,5288375.981,1
495073.595,5288377.536,"2013/08/04","09:00:07",495073.595,5288377.536,1
495071.7665,5288386.984,"2013/08/04","09:05:07",495071.7665,5288386.984,1
495066.646,5288412.218,"2013/08/04","09:10:07",495066.646,5288412.218,1
495051.8106,5288401.783,"2013/08/04","09:15:07",495051.8106,5288401.783,1
495074.493,5288375.868,"2013/08/04","09:20:07",495074.493,5288375.868,1
495073.1151,5288377.425,"2013/08/04","09:25:07",495073.1151,5288377.425,1
494879.9807,5288666.003,"2013/08/04","09:30:07",494879.9807,5288666.003,1
494876.5672,5288662.45,"2013/08/04","09:35:06",494876.5672,5288662.45,1
494867.3276,5288664.903,"2013/08/04","09:40:07",494867.3276,5288664.903,1
494879.427,5288667.115,"2013/08/04","09:45:07",494879.427,5288667.115,1
494874.997,5288666.786,"2013/08/04","09:50:07",494874.997,5288666.786,1
494878.49,5288667.005,"2013/08/04","09:55:07",494878.49,5288667.005,1
494876.7035,5288664.117,"2013/08/04","10:00:07",494876.7035,5288664.117,1
494882.9839,5288671.78,"2013/08/04","10:05:07",494882.9839,5288671.78,1
494886.5589,5288662.997,"2013/08/04","10:10:07",494886.5589,5288662.997,1
494878.4888,5288665.671,"2013/08/04","10:15:23",494878.4888,5288665.671,1
494877.6403,5288663.894,"2013/08/04","10:20:07",494877.6403,5288663.894,1
494882.501,5288659.666,"2013/08/04","10:25:07",494882.501,5288659.666,1
494877.2616,5288668.006,"2013/08/04","10:30:07",494877.2616,5288668.006,1
494877.2442,5288665.228,"2013/08/04","10:30:17",494877.2442,5288665.228,1
494882.68,5288667.112,"2013/08/04","10:35:07",494882.68,5288667.112,1
494877.8247,5288669.006,"2013/08/04","10:40:06",494877.8247,5288669.006,1
494879.2728,5288670.783,"2013/08/04","10:45:07",494879.2728,5288670.783,1
494877.2238,5288667.562,"2013/08/04","10:50:06",494877.2238,5288667.562,1
494876.7597,5288668.34,"2013/08/04","10:55:07",494876.7597,5288668.34,1
494876.3314,5288667.118,"2013/08/04","11:00:07",494876.3314,5288667.118,1
494876.1218,5288667.341,"2013/08/04","11:05:06",494876.1218,5288667.341,1
