"link","type","code"
"http://data.earthenv.org/habitat_heterogeneity/5km/simpson_01_05_5km_uint16.tif","Habitat heterogeneity","Simpson_5km"
"http://data.earthenv.org/habitat_heterogeneity/5km/std_01_05_5km_uint16.tif","Habitat heterogeneity","Standard deviation_5km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_1.tif","LC Consensus","Evergreen/Deciduous Needleleaf Trees_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_10.tif","LC Consensus","Evergreen Broadleaf Trees_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_11.tif","LC Consensus","Deciduous Broadleaf Trees_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_12.tif","LC Consensus","Mixed/Other Trees_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_2.tif","LC Consensus","Shrubs_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_3.tif","LC Consensus","Herbaceous Vegetation_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_4.tif","LC Consensus","Cultivated and Managed Vegetation_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_5.tif","LC Consensus","Regularly Flooded Vegetation_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_6.tif","LC Consensus","Urban/Built-up_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_7.tif","LC Consensus","Snow/Ice_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_8.tif","LC Consensus","Barren_1km"
"http://data.earthenv.org/consensus_landcover/with_DISCover/consensus_full_class_9.tif","LC Consensus","Open Water_1km"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_1.tif","LC Consensus","Evergreen/Deciduous Needleleaf Trees_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_10.tif","LC Consensus","Evergreen Broadleaf Trees_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_11.tif","LC Consensus","Deciduous Broadleaf Trees_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_12.tif","LC Consensus","Mixed/Other Trees_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_2.tif","LC Consensus","Shrubs_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_3.tif","LC Consensus","Herbaceous Vegetation_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_4.tif","LC Consensus","Cultivated and Managed Vegetation_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_5.tif","LC Consensus","Regularly Flooded Vegetation_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_6.tif","LC Consensus","Urban/Built-up_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_7.tif","LC Consensus","Snow/Ice_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_8.tif","LC Consensus","Barren_1km_reduced"
"http://data.earthenv.org/consensus_landcover/without_DISCover/Consensus_reduced_class_9.tif","LC Consensus","Open Water_1km_reduced"
"http://data.earthenv.org/cloud/MODCF_CloudForestPrediction.tif","Cloud Cover","Cloud Forest Prediction"
"http://data.earthenv.org/cloud/MODCF_interannualSD.tif","Cloud Cover","Inter-annual variability (SD)"
"http://data.earthenv.org/cloud/MODCF_intraannualSD.tif","Cloud Cover","Intra-Annual variability (SD)"
"http://data.earthenv.org/cloud/MODCF_meanannual.tif","Cloud Cover","Mean annual"
"http://data.earthenv.org/cloud/MODCF_monthlymean_01.tif","Cloud Cover","January mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_02.tif","Cloud Cover","February mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_03.tif","Cloud Cover","March mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_04.tif","Cloud Cover","April mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_05.tif","Cloud Cover","May mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_06.tif","Cloud Cover","June mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_07.tif","Cloud Cover","July mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_08.tif","Cloud Cover","August mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_09.tif","Cloud Cover","September mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_10.tif","Cloud Cover","October mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_11.tif","Cloud Cover","November mean"
"http://data.earthenv.org/cloud/MODCF_monthlymean_12.tif","Cloud Cover","December mean"
"http://data.earthenv.org/cloud/MODCF_seasonality_concentration.tif","Cloud Cover","Seasonality concentration"
"http://data.earthenv.org/cloud/MODCF_seasonality_rgb.tif","Cloud Cover","Seasonality RGB"
"http://data.earthenv.org/cloud/MODCF_seasonality_theta.tif","Cloud Cover","Seasonality theta"
"http://data.earthenv.org/cloud/MODCF_seasonality_visct.tif","Cloud Cover","Seasonality single band with color table"
"http://data.earthenv.org/cloud/MODCF_spatialSD_1deg.tif","Cloud Cover","Spatial variability (1 degree SD)"
"http://data.earthenv.org/streams/elevation.nc","Freshwater ecosystems","Monthly minimum temperature (average)"
"http://data.earthenv.org/streams/flow_acc.nc","Freshwater ecosystems","Monthly maximum temperature (average)"
"http://data.earthenv.org/streams/geology_weighted_sum.nc","Freshwater ecosystems","Monthly upstream precipitation (sum)"
"http://data.earthenv.org/streams/hydroclim_average+sum.nc","Freshwater ecosystems","Monthly minimum temperature (distance-weighted average)"
"http://data.earthenv.org/streams/hydroclim_weighted_average+sum.nc","Freshwater ecosystems","Monthly maximum temperature (distance-weighted average)"
"http://data.earthenv.org/streams/landcover_average.nc","Freshwater ecosystems","Monthly upstream precipitation (distance-weighted sum)"
"http://data.earthenv.org/streams/landcover_maximum.nc","Freshwater ecosystems","Hydroclimatic variables (average and sum)"
"http://data.earthenv.org/streams/landcover_minimum.nc","Freshwater ecosystems","Hydroclimatic variables (distance-weighted average and sum)"
"http://data.earthenv.org/streams/landcover_range.nc","Freshwater ecosystems","Upstream elevation (min, max, range, avg)"
"http://data.earthenv.org/streams/landcover_weighted_average.nc","Freshwater ecosystems","Upstream slope (min, max, range, avg)"
"http://data.earthenv.org/streams/monthly_prec_sum.nc","Freshwater ecosystems","Stream length and flow accumulation"
"http://data.earthenv.org/streams/monthly_prec_weighted_sum.nc","Freshwater ecosystems","Upstream landcover coverage (minimum)"
"http://data.earthenv.org/streams/monthly_tmax_average.nc","Freshwater ecosystems","Upstream landcover coverage (maximum)"
"http://data.earthenv.org/streams/monthly_tmax_weighted_average.nc","Freshwater ecosystems","Upstream landcover coverage (range)"
"http://data.earthenv.org/streams/monthly_tmin_average.nc","Freshwater ecosystems","Upstream landcover coverage (average)"
"http://data.earthenv.org/streams/monthly_tmin_weighted_average.nc","Freshwater ecosystems","Upstream landcover coverage (distance-weighted average)"
"http://data.earthenv.org/streams/quality_control.nc","Freshwater ecosystems","Upstream geology (distance-weighted count)"
"http://data.earthenv.org/streams/slope.nc","Freshwater ecosystems","Upstream soil (minimum)"
"http://data.earthenv.org/streams/soil_average.nc","Freshwater ecosystems","Upstream soil (maximum)"
"http://data.earthenv.org/streams/soil_maximum.nc","Freshwater ecosystems","Upstream soil (range)"
"http://data.earthenv.org/streams/soil_minimum.nc","Freshwater ecosystems","Upstream soil (average)"
"http://data.earthenv.org/streams/soil_range.nc","Freshwater ecosystems","Upstream soil (distance-weighted average)"
"http://data.earthenv.org/streams/soil_weighted_average.nc","Freshwater ecosystems","Quality control layers"
"","",""
