"x","y","date","time"
494852.871935038,5288330.15911858,"2013/08/05","08:20:07"
494853.36635938,5288329.8252569,"2013/08/05","08:25:06"
494852.310443344,5288330.93760392,"2013/08/05","08:30:07"
494850.775686997,5288333.05064535,"2013/08/05","08:35:07"
494856.504899246,5288344.27080793,"2013/08/05","08:40:07"
494677.482574255,5289102.52574743,"2013/08/05","08:45:08"
494115.105945377,5289413.59758279,"2013/08/05","08:50:07"
494182.986547948,5289724.0578153,"2013/08/05","08:55:07"
493399.222370495,5289671.32677295,"2013/08/05","09:00:06"
493528.988803144,5287265.08683963,"2013/08/05","09:05:06"
493517.498892935,5287187.41218326,"2013/08/05","09:10:07"
493497.59732288,5287163.87257885,"2013/08/05","09:15:07"
493535.385259406,5287084.586932,"2013/08/05","09:20:06"
493504.802511847,5287056.94700024,"2013/08/05","09:25:07"
493446.713662962,5286878.63124156,"2013/08/05","09:30:07"
493421.650219773,5286965.68286413,"2013/08/05","09:35:07"
493471.718306602,5286971.9613664,"2013/08/05","09:40:07"
493458.843536471,5286957.30526955,"2013/08/05","09:45:07"
493458.435931602,5286961.52908079,"2013/08/05","09:50:07"
493457.950883033,5286976.86706352,"2013/08/05","09:55:07"
493647.541420143,5287854.33626643,"2013/08/05","10:00:09"
493656.478664742,5287944.90640205,"2013/08/05","10:05:23"
493681.274463778,5287936.32149179,"2013/08/05","10:10:07"
493676.590034885,5287943.88418272,"2013/08/05","10:15:07"
493569.049435466,5288134.05351815,"2013/08/05","10:20:07"
493577.737177055,5288120.37354816,"2013/08/05","10:25:07"
493566.607665256,5288122.27527464,"2013/08/05","10:30:07"
493568.254697352,5288120.38405112,"2013/08/05","10:30:17"
493572.653938502,5288085.70317349,"2013/08/05","10:35:07"
493603.338218686,5288081.44590756,"2013/08/05","10:40:07"
493660.104125651,5288059.04426162,"2013/08/05","10:45:07"
493659.1784811,5288035.14995326,"2013/08/05","10:50:06"
493668.512389818,5288036.25117147,"2013/08/05","10:55:06"
493669.007796886,5288016.24524766,"2013/08/05","11:00:07"
493678.029438007,5288019.68078325,"2013/08/05","11:05:06"
493648.89860963,5287998.48465983,"2013/08/05","11:10:07"
493583.335612103,5288153.2651026,"2013/08/05","11:15:07"
493524.319949827,5288449.07705742,"2013/08/05","11:20:06"
494879.763011595,5288665.67018338,"2013/08/05","11:25:07"
495226.29811161,5289298.32344971,"2013/08/05","11:30:06"
496304.834672573,5289394.67347342,"2013/08/05","11:35:07"
495240.403758602,5286987.46847033,"2013/08/11","10:00:07"
495181.309297529,5287548.33387906,"2013/08/11","10:05:07"
493770.385860951,5288707.2107189,"2013/08/11","10:20:07"
494171.839391398,5288653.77921715,"2013/08/11","10:25:07"
493685.921495554,5288686.51863922,"2013/08/11","10:30:07"
493573.608953538,5288677.19496515,"2013/08/11","10:30:18"
