"","lon","lat","date","time","timestamp"
"67",8.9308527,47.751513,"2013/08/02","07:30:10","2013-08-02 07:30:10"
"68",8.9308296,47.75151,"2013/08/02","07:35:10","2013-08-02 07:35:10"
"69",8.9260574,47.744648,"2013/08/02","07:40:09","2013-08-02 07:40:09"
"70",8.9273114,47.746018,"2013/08/02","07:46:16","2013-08-02 07:46:16"
"71",8.9270818,47.746433,"2013/08/02","07:50:03","2013-08-02 07:50:03"
"72",8.9271441,47.746411,"2013/08/02","07:55:06","2013-08-02 07:55:06"
"73",8.9274249,47.746865,"2013/08/02","08:00:40","2013-08-02 08:00:40"
"74",8.9316306,47.751382,"2013/08/02","08:06:08","2013-08-02 08:06:08"
"75",8.9316601,47.751337,"2013/08/02","08:10:04","2013-08-02 08:10:04"
"76",8.9317581,47.751298,"2013/08/02","08:15:23","2013-08-02 08:15:23"
"77",8.9317375,47.751345,"2013/08/02","08:20:15","2013-08-02 08:20:15"
"78",8.9314888,47.751346,"2013/08/02","08:25:22","2013-08-02 08:25:22"
"79",8.9316299,47.751364,"2013/08/02","08:35:16","2013-08-02 08:35:16"
"80",8.9316546,47.751337,"2013/08/02","08:40:22","2013-08-02 08:40:22"
"81",8.9321933,47.751112,"2013/08/02","08:47:11","2013-08-02 08:47:11"
"82",8.9315463,47.751397,"2013/08/02","08:51:55","2013-08-02 08:51:55"
"83",8.9315969,47.751419,"2013/08/02","08:55:09","2013-08-02 08:55:09"
"84",8.9315971,47.751331,"2013/08/02","09:00:12","2013-08-02 09:00:12"
"85",8.9316143,47.751362,"2013/08/02","09:05:07","2013-08-02 09:05:07"
"86",8.9316187,47.751358,"2013/08/02","09:10:07","2013-08-02 09:10:07"
"87",8.9315572,47.75141,"2013/08/02","09:15:11","2013-08-02 09:15:11"
"88",8.9229181,47.747221,"2013/08/02","09:20:48","2013-08-02 09:20:48"
"89",8.9191366,47.744586,"2013/08/02","09:26:13","2013-08-02 09:26:13"
"90",8.9174352,47.7376,"2013/08/02","09:30:56","2013-08-02 09:30:56"
"91",8.9134109,47.737429,"2013/08/02","09:35:12","2013-08-02 09:35:12"
"92",8.9127038,47.742898,"2013/08/02","09:40:11","2013-08-02 09:40:11"
"93",8.9124831,47.742798,"2013/08/02","09:46:13","2013-08-02 09:46:13"
"94",8.9128124,47.742832,"2013/08/02","09:51:57","2013-08-02 09:51:57"
"95",8.913159,47.742431,"2013/08/02","09:56:06","2013-08-02 09:56:06"
"96",8.9134128,47.742261,"2013/08/02","10:00:04","2013-08-02 10:00:04"
"97",8.9241722,47.745613,"2013/08/02","10:05:09","2013-08-02 10:05:09"
"98",8.9239297,47.745133,"2013/08/02","10:10:14","2013-08-02 10:10:14"
"99",8.9238834,47.745229,"2013/08/02","10:16:49","2013-08-02 10:16:49"
"100",8.9240047,47.745493,"2013/08/02","10:22:26","2013-08-02 10:22:26"
"101",8.923888,47.745288,"2013/08/02","10:25:57","2013-08-02 10:25:57"
"102",8.9237719,47.745222,"2013/08/02","10:30:14","2013-08-02 10:30:14"
"103",8.9238383,47.745574,"2013/08/02","10:35:17","2013-08-02 10:35:17"
"104",8.9235935,47.745201,"2013/08/02","10:45:04","2013-08-02 10:45:04"
"105",8.9264069,47.744297,"2013/08/02","10:50:50","2013-08-02 10:50:50"
"106",8.9343144,47.748835,"2013/08/02","10:56:13","2013-08-02 10:56:13"
"107",8.9341154,47.748787,"2013/08/02","11:01:07","2013-08-02 11:01:07"
"108",8.9316083,47.751367,"2013/08/02","11:05:55","2013-08-02 11:05:55"
"109",8.9316868,47.751386,"2013/08/02","11:10:16","2013-08-02 11:10:16"
"110",8.9316583,47.751358,"2013/08/02","11:16:01","2013-08-02 11:16:01"
"111",8.9316316,47.75137,"2013/08/02","11:20:50","2013-08-02 11:20:50"
"112",8.9316322,47.751337,"2013/08/02","11:26:18","2013-08-02 11:26:18"
"113",8.9316763,47.75143,"2013/08/02","11:31:15","2013-08-02 11:31:15"
"114",8.9316451,47.751346,"2013/08/02","11:36:32","2013-08-02 11:36:32"
"115",8.9316451,47.751346,"2013/08/02","11:36:32","2013-08-02 11:36:32"
"116",8.9316034,47.751646,"2013/08/02","11:40:06","2013-08-02 11:40:06"
"117",8.9316291,47.751368,"2013/08/02","11:50:48","2013-08-02 11:50:48"
"118",8.9316291,47.751368,"2013/08/02","11:50:48","2013-08-02 11:50:48"
"119",8.9316264,47.751392,"2013/08/02","11:56:19","2013-08-02 11:56:19"
"120",8.9316264,47.751392,"2013/08/02","11:56:19","2013-08-02 11:56:19"
"121",8.9316286,47.751399,"2013/08/02","12:00:16","2013-08-02 12:00:16"
"122",8.9316286,47.751399,"2013/08/02","12:00:16","2013-08-02 12:00:16"
"123",8.9316606,47.751394,"2013/08/02","12:05:40","2013-08-02 12:05:40"
"124",8.9342419,47.748763,"2013/08/02","12:10:12","2013-08-02 12:10:12"
"125",8.9335213,47.749435,"2013/08/02","12:17:07","2013-08-02 12:17:07"
"126",8.9342429,47.74884,"2013/08/02","12:21:42","2013-08-02 12:21:42"
"127",8.9342521,47.748746,"2013/08/02","12:25:07","2013-08-02 12:25:07"
"128",8.9342108,47.748794,"2013/08/02","12:30:10","2013-08-02 12:30:10"
"129",8.9342082,47.74868,"2013/08/02","12:35:13","2013-08-02 12:35:13"
"130",8.9315204,47.751341,"2013/08/02","12:40:14","2013-08-02 12:40:14"
"131",8.9210974,47.753172,"2013/08/02","12:45:17","2013-08-02 12:45:17"
"132",8.9261133,47.76166,"2013/08/02","12:50:23","2013-08-02 12:50:23"
"133",8.9315274,47.751238,"2013/08/02","12:56:55","2013-08-02 12:56:55"
"134",8.9316641,47.751357,"2013/08/02","13:00:05","2013-08-02 13:00:05"
"135",8.9315347,47.751318,"2013/08/02","13:06:07","2013-08-02 13:06:07"
"136",8.931654,47.751273,"2013/08/02","13:12:25","2013-08-02 13:12:25"
"137",8.9315792,47.751335,"2013/08/02","13:20:26","2013-08-02 13:20:26"
"138",8.9316153,47.751327,"2013/08/02","13:26:43","2013-08-02 13:26:43"
"139",8.931545,47.751232,"2013/08/02","13:35:30","2013-08-02 13:35:30"
"140",8.9315571,47.751322,"2013/08/02","13:41:41","2013-08-02 13:41:41"
"141",8.9315734,47.751311,"2013/08/02","13:45:12","2013-08-02 13:45:12"
"142",8.931553,47.751316,"2013/08/02","13:51:30","2013-08-02 13:51:30"
"143",8.931596,47.751334,"2013/08/02","13:56:18","2013-08-02 13:56:18"
"144",8.9316617,47.751318,"2013/08/02","14:00:56","2013-08-02 14:00:56"
"145",8.9317195,47.751432,"2013/08/02","14:05:08","2013-08-02 14:05:08"
"146",8.9318072,47.751367,"2013/08/02","14:10:08","2013-08-02 14:10:08"
"147",8.9316734,47.751352,"2013/08/02","14:16:01","2013-08-02 14:16:01"
"148",8.9316371,47.751324,"2013/08/02","14:20:07","2013-08-02 14:20:07"
"149",8.9316607,47.751364,"2013/08/02","14:25:46","2013-08-02 14:25:46"
"150",8.9316414,47.751301,"2013/08/02","14:30:13","2013-08-02 14:30:13"
"151",8.931665,47.751354,"2013/08/02","14:35:16","2013-08-02 14:35:16"
"152",8.9317326,47.751315,"2013/08/02","14:41:22","2013-08-02 14:41:22"
"153",8.9316788,47.751325,"2013/08/02","14:45:11","2013-08-02 14:45:11"
"154",8.931608,47.75127,"2013/08/02","14:50:10","2013-08-02 14:50:10"
"155",8.9318399,47.751707,"2013/08/02","14:57:17","2013-08-02 14:57:17"
"156",8.9316607,47.751345,"2013/08/02","15:01:13","2013-08-02 15:01:13"
"157",8.9316221,47.751349,"2013/08/02","15:05:07","2013-08-02 15:05:07"
"158",8.9315316,47.751304,"2013/08/02","15:10:08","2013-08-02 15:10:08"
"159",8.9316299,47.751244,"2013/08/02","15:16:00","2013-08-02 15:16:00"
"160",8.9316767,47.751306,"2013/08/02","15:20:08","2013-08-02 15:20:08"
"161",8.9315651,47.75129,"2013/08/02","15:26:21","2013-08-02 15:26:21"
"162",8.9315615,47.751447,"2013/08/02","15:30:55","2013-08-02 15:30:55"
"163",8.9315737,47.751248,"2013/08/02","15:36:28","2013-08-02 15:36:28"
"164",8.9316653,47.751292,"2013/08/02","15:41:52","2013-08-02 15:41:52"
"165",8.9317776,47.751425,"2013/08/02","15:45:17","2013-08-02 15:45:17"
"166",8.9315211,47.751247,"2013/08/02","15:50:43","2013-08-02 15:50:43"
"167",8.9315949,47.751258,"2013/08/02","15:56:10","2013-08-02 15:56:10"
"168",8.9317119,47.751624,"2013/08/02","16:00:13","2013-08-02 16:00:13"
"169",8.9316707,47.751374,"2013/08/02","16:05:16","2013-08-02 16:05:16"
"170",8.9315302,47.751186,"2013/08/02","16:11:18","2013-08-02 16:11:18"
"171",8.931518,47.751211,"2013/08/02","16:15:10","2013-08-02 16:15:10"
"172",8.9317162,47.751354,"2013/08/02","16:21:30","2013-08-02 16:21:30"
"173",8.9316281,47.751301,"2013/08/02","16:26:26","2013-08-02 16:26:26"
"174",8.9316461,47.751194,"2013/08/02","16:30:12","2013-08-02 16:30:12"
"175",8.9317293,47.751429,"2013/08/02","16:35:08","2013-08-02 16:35:08"
"176",8.9315965,47.751255,"2013/08/02","16:40:14","2013-08-02 16:40:14"
"177",8.9316962,47.751334,"2013/08/02","16:45:11","2013-08-02 16:45:11"
"178",8.9315724,47.751332,"2013/08/02","16:55:11","2013-08-02 16:55:11"
"179",8.9317483,47.751384,"2013/08/02","17:05:09","2013-08-02 17:05:09"
"180",8.9316761,47.751336,"2013/08/02","17:10:13","2013-08-02 17:10:13"
"181",8.9314513,47.75127,"2013/08/02","17:15:16","2013-08-02 17:15:16"
"182",8.9316766,47.751297,"2013/08/02","17:20:10","2013-08-02 17:20:10"
"183",8.9315726,47.751355,"2013/08/02","17:27:13","2013-08-02 17:27:13"
"184",8.9316032,47.751661,"2013/08/02","17:31:58","2013-08-02 17:31:58"
"185",8.9316794,47.751137,"2013/08/02","17:36:56","2013-08-02 17:36:56"
"186",8.9316133,47.75136,"2013/08/02","17:40:11","2013-08-02 17:40:11"
"187",8.9316828,47.751346,"2013/08/02","17:45:16","2013-08-02 17:45:16"
"188",8.9316828,47.751346,"2013/08/02","17:45:16","2013-08-02 17:45:16"
"189",8.9313619,47.75081,"2013/08/02","17:50:14","2013-08-02 17:50:14"
"190",8.9313619,47.75081,"2013/08/02","17:50:14","2013-08-02 17:50:14"
"191",8.9316844,47.751247,"2013/08/02","17:55:15","2013-08-02 17:55:15"
"192",8.9316226,47.751358,"2013/08/02","18:00:46","2013-08-02 18:00:46"
"193",8.9316226,47.751358,"2013/08/02","18:00:46","2013-08-02 18:00:46"
"194",8.9315995,47.751342,"2013/08/02","18:05:11","2013-08-02 18:05:11"
"195",8.9317577,47.751334,"2013/08/02","18:10:12","2013-08-02 18:10:12"
"196",8.9316034,47.751319,"2013/08/02","18:15:13","2013-08-02 18:15:13"
"197",8.9316099,47.751332,"2013/08/02","18:20:12","2013-08-02 18:20:12"
"198",8.9315911,47.751312,"2013/08/02","18:25:11","2013-08-02 18:25:11"
"199",8.9316019,47.751356,"2013/08/02","18:30:13","2013-08-02 18:30:13"
"200",8.9316472,47.751381,"2013/08/02","18:35:10","2013-08-02 18:35:10"
"201",8.9316716,47.751339,"2013/08/02","18:40:11","2013-08-02 18:40:11"
"202",8.9316762,47.751409,"2013/08/02","18:45:12","2013-08-02 18:45:12"
"203",8.9316887,47.751375,"2013/08/02","18:50:10","2013-08-02 18:50:10"
"204",8.931671,47.751331,"2013/08/02","18:55:11","2013-08-02 18:55:11"
"205",8.9315074,47.751272,"2013/08/02","19:00:11","2013-08-02 19:00:11"
"206",8.931598,47.751343,"2013/08/02","19:05:14","2013-08-02 19:05:14"
"207",8.9313768,47.751197,"2013/08/02","19:10:09","2013-08-02 19:10:09"
"208",8.931699,47.751365,"2013/08/02","19:15:12","2013-08-02 19:15:12"
"209",8.9315976,47.751429,"2013/08/02","19:20:11","2013-08-02 19:20:11"
"210",8.931652,47.75136,"2013/08/02","19:25:18","2013-08-02 19:25:18"
"211",8.9316914,47.751252,"2013/08/02","19:30:11","2013-08-02 19:30:11"
"212",8.9321461,47.751425,"2013/08/02","19:35:11","2013-08-02 19:35:11"
"213",8.9316355,47.75137,"2013/08/02","19:40:10","2013-08-02 19:40:10"
"214",8.9312268,47.751816,"2013/08/02","19:45:14","2013-08-02 19:45:14"
"215",8.931731,47.751277,"2013/08/02","19:50:11","2013-08-02 19:50:11"
"216",8.9317466,47.751312,"2013/08/02","19:55:11","2013-08-02 19:55:11"
"217",8.9316622,47.751354,"2013/08/02","20:00:46","2013-08-02 20:00:46"
